equipment_name,amount,min_amount,building_id
Garden Carts,50,6,9260
Acrylic Block Risers,48,9,9730
Canvas Tools,35,6,13447
PALLET FLOW RACK,42,14,10386
Floor Standing Display Cases,50,8,6673
Printer cabinet ,22,15,11733
Trade Show Booth Backdrops,10,7,4843
Erie,21,8,13323
Sprayers,49,13,17024
Boxes With Lids And Covers,16,6,15759
Acrylic U-Shaped Risers,40,8,3735
Voting Booth Dividers,34,5,14527
RIVET SHELVING,19,7,9631
Display/power strip mounting kit ,26,9,3946
Paper,10,11,19035
Plumbing Cleaing,14,5,8513
Custom Printed Pedestals,27,11,19952
Electrical Tools,29,6,13069
Wringers,48,5,4392
Garden Grabbers,0,11,3493
Display Cubes,16,9,16053
Hanging Storage,13,5,3332
Joele,9,14,15870
Mirrored Risers,47,5,4677
HORIZONTAL CAROUSELS,28,5,14254
VERTICAL BALERS,40,12,1466
Keyboard drape ,33,11,7869
Grafting Tools,18,5,10386
Jewelry Displays,48,8,11608
Floor Squeegees,1,12,8417
Black Risers,25,8,2166
Right-Angle Drills,36,9,1908
Sapphire,22,10,18442
Hammer Drills,32,5,6201
Canvas Pads,35,10,16963
Hoky Style Sweepers,9,9,13146
Carpet,26,10,18913
"Acrylic Podiums, Pulpits, And Lecterns",7,10,4395
Accessories,36,15,17266
Media Cabinets,26,7,7888
Media storage rack ,28,6,7865
Vehicle Sneeze Guards,0,12,13830
Roll Storage,20,9,3150
VERTICAL LIFT MODULES,6,12,13402
Round,19,8,9044
Tree Pruners,9,6,14128
Pruning Saws,4,5,14368
Document Binders,41,14,9387
Brooms,17,12,11696
Gaming Dividers,17,15,19541
Waiting Room Chairs and Furniture,8,9,13168
Restaurant Sneeze Guards,50,6,17282
Sneeze Guard Barriers,27,14,11657
Drawing Tools,50,5,9769
Acrylic Donation Boxes  Plexiglass,0,8,7198
Detergents,17,6,3188
Brushes,32,6,7323
Hoes,45,9,10073
FLEX CONVEYOR,10,11,9341
GOH EQUIPMENT,8,7,105
RODS,12,11,10521
Floor Standing Sign Holder,38,9,5570
Wall Pedestals,33,5,3043
Custom Printed Sneeze Guards,27,5,11042
Podiums with Sound,5,9,18522
Casino,21,15,12848
Basket Displays,49,12,5547
STRETCH WRAPPERS,38,7,16964
Sinks,1,15,14029
"Tabletop Lecterns, Podiums, And Pulpits",50,6,13898
Garden Tool Sets,28,8,11930
Showcases,20,14,7991
Holders,5,15,8122
CAROUSELS,20,15,15497
Eyewear Displays,3,6,1536
Place Card Holders,14,12,8254
Sneeze Guards,49,7,18721
Gloves,24,15,2471
Printer media cabinet ,34,6,19582
Slatwall,12,9,16513
Stands,29,10,8116
Wood Pedestals,48,6,228
Keyboard and mouse platform with wrist pillow ,26,14,14266
Keyboard/mouse shelf ,9,8,11083
Keyboard platform with wrist pillow ,22,9,1511
Cable tray clamp ,10,12,8473
Plastic Sheets,13,6,12719
Acrylic Cylinder Risers,43,14,19177
Equipment,48,13,13200
Avant,27,9,8057
Automotive,37,5,1049
Shields,41,9,15376
Keyboard adapter ,13,7,63
Wall Mounted Sign Holders and Poster Frames,11,15,3237
Pastels,16,15,7326
Keyboard articulating arm track ,35,14,12673
Book Boxes,23,11,1671
Jewell,47,7,3135
"TOTES, BINS AND CONTAINERS",36,8,6313
Sedgwick,49,9,18442
Poster Stands,26,8,12577
Charcoal,1,12,14713
Scanner floor stand ,32,8,2351
Conservation Tables,31,9,12726
Track mounting kit ,5,11,7318
Acrylic Corner Turn Risers,45,10,12176
Acrylic Cube Risers,21,5,8333
Splendor,17,15,13899
Jewelry Organizers,27,10,19912
ADHESIVE,7,11,1205
Cordless Screwdrivers,5,6,9535
Planting Tools,42,7,12173
Printer stand with cabinet ,12,7,1084
Backrest,24,9,18415
Keyboard/mouse tray mount ,13,11,9050
Tables,0,11,9796
BACKROOM SHELVING,46,10,5086
Cube Tables,23,10,3363
Garden Forks,36,13,916
BOOK CLOTH,19,15,2630
PALLET RACK,23,15,5268
Retail Sneeze Guards,27,15,8130
Keyboard/mouse platform ,7,9,9465
MEZZANINES,47,10,19347
VERTICAL CAROUSELS,34,7,1996
Screw Guns,19,9,4777
Lighting,26,10,2564
Impact Drivers,9,10,17605
Keyboard cover ,43,12,14895
Flat Files,15,12,12521
Charter,43,8,5905
Lighted Display Cases,24,7,17974
Supplies,5,7,10673
Impact Wrenches,31,13,6489
Mouse bungee ,29,8,2943
Makeup Organizers and Displays,35,11,9902
TRIMMERS,7,9,2324
Dustpans,31,9,18933
Sign Holders And Picture Frames,12,12,18191
Markers,18,12,7296
Corded Drills,48,15,15371
Handles,4,10,1369
Court House Barriers,34,11,19378
Economy Display Pedestals,9,6,2123
Display Stands,16,13,11279
Preservation Materials,42,7,9709
Signage,48,9,9206
Facilities Management Barriers,14,10,11104
Hand Pruners,44,15,4894
Paxton,19,5,19287
Chargers,11,8,11448
Replacement panel ,23,13,14101
Printer cabinet stand ,24,6,14296
Bone Folders,40,8,2766
Floor Care Chemicals,47,6,1198
Sign Holders and Stands,50,5,18479
Sign Stands,8,10,5559
Hardboard Panels,22,5,1250
System floor stand ,24,5,14588
SHELVING-SUPPORTED MEZZANINES,27,5,3842
Rakes,23,5,4041
YARD RAMPS,48,13,18754
Printer cart ,8,10,8135
Notebook accessories bundle ,14,10,19260
MFP cabinet ,11,8,1941
Pole Saws,12,6,10211
RACK-SUPPORTED MEZZANINES,42,7,4604
Hudson,16,12,13186
Laminate Pedestals,50,14,17727
Eastwood,16,14,359
Collapsible Pedestals,22,8,16631
Ink,14,13,10463
BULK RACK SHELVING,48,11,19320
Pamphlet Files,26,15,9304
Cabinet door ,6,12,1615
Literature Holders,7,8,16793
Drill Presses,10,11,5163
Acrylic Column Risers,16,9,12642
Food Display Stands,21,13,10560
Microfiber Rags,39,6,11611
Acrylic Three Legged Risers,38,8,711
Steamers,33,12,14332
Wood Barrels And Displays,9,10,2224
Storage Boxes,26,8,228
Cash Wraps,45,15,5951
FREE-STANDING MEZZANINES,30,14,5473
Folders,10,6,8134
STRUCTURAL PALLET RACK,47,15,12228
Delphi,27,10,18756
Custom Acrylic Boxes,39,6,12271
BRUSHES,3,6,30
Buckets,5,7,1005
Risers,32,10,11257
Counter Sneeze Guards,10,12,12937
Mounting kit ,32,13,16685
Flags,10,15,1112
Keyboard platform ,7,13,9201
Shovels,8,10,11058
Polling Place Sneeze Guards,41,15,8752
All Display Pedestals,23,12,6915
